trade_date,513100.SS,513100.SS_fact,513100.SS_ln,513100.SS_base,513100.SS_avgs128,513100.SS_avgs32,518800.SS,518800.SS_fact,518800.SS_ln,518800.SS_base,518800.SS_avgs128,518800.SS_avgs32,501018.SS,501018.SS_fact,501018.SS_ln,501018.SS_base,501018.SS_avgs128,501018.SS_avgs32,160723.SZ,160723.SZ_fact,160723.SZ_ln,160723.SZ_base,160723.SZ_avgs128,160723.SZ_avgs32,601398.SS,601398.SS_fact,601398.SS_ln,601398.SS_base,601398.SS_avgs128,601398.SS_avgs32,601988.SS,601988.SS_fact,601988.SS_ln,601988.SS_base,601988.SS_avgs128,601988.SS_avgs32,601939.SS,601939.SS_fact,601939.SS_ln,601939.SS_base,601939.SS_avgs128,601939.SS_avgs32,601288.SS,601288.SS_fact,601288.SS_ln,601288.SS_base,601288.SS_avgs128,601288.SS_avgs32,588000.SS,588000.SS_fact,588000.SS_ln,588000.SS_base,588000.SS_avgs128,588000.SS_avgs32,513180.SS,513180.SS_fact,513180.SS_ln,513180.SS_base,513180.SS_avgs128,513180.SS_avgs32
202405210931,1.364,1,2.6200312673522808,0.993,2.5851770812611106,2.6022247261323708,5.477,1,3.036158752605957,2.63,2.987162920247455,3.01097762714225,1.302,1,2.721971539620818,0.856,2.7206023682959493,2.7176969994643403,1.536,1,2.754012336666846,0.978,2.764009523394708,2.750302579032561,5.45,1,2.302585092994046,5.45,2.291721161655636,2.296703297101629,4.47,1,2.332099153507209,4.34,2.339390341811061,2.333892247489709,7.11,1,2.437926440863808,6.21,2.4341164446183323,2.4371479004984207,4.37,1,2.780399467209935,2.71,2.7760712094706177,2.780684185513996,0.786,1,1.6717736028918724,1.477,1.683500690075194,1.6788486794627937,0.552,1,1.7184281961425054,0.99,1.6335754068082704,1.7069445323296135
202405201500,1.357,1,2.6148860887837424,0.993,2.584902638850944,2.60165032157689,5.485,1,3.037618340531566,2.63,2.986777126291876,3.0101653327724534,1.313,1,2.7303845911550995,0.856,2.720591587419376,2.7175591110721955,1.551,1,2.7637305861357677,0.978,2.764088241400439,2.750182909431456,5.46,1,2.3044182740757067,5.45,2.291635618889192,2.29651356175026,4.47,1,2.332099153507209,4.34,2.339447752742588,2.33395008923108,7.11,1,2.437926440863808,6.21,2.434086444647896,2.4371227862930858,4.37,1,2.780399467209935,2.71,2.776037128701017,2.7806933699754173,0.789,1,1.6755831313085403,1.477,1.683593029344354,1.6790769077392749,0.56,1,1.732816933594605,0.99,1.6329072746087885,1.7065740915614558
202405201431,1.356,1,2.614148897449214,0.993,2.584666548693993,2.6012233613444105,5.493,1,3.039075801164856,2.63,2.9863768017703034,3.0092797518769983,1.313,1,2.7303845911550995,0.856,2.72051447715374,2.71714538590823,1.549,1,2.7624402633760967,0.978,2.764091057583625,2.7497458876022844,5.46,1,2.3044182740757067,5.45,2.291534968060952,2.2962585710300845,4.48,1,2.334333791308626,4.34,2.3395056157286933,2.334009796835076,7.11,1,2.437926440863808,6.21,2.434056208457219,2.437096861952095,4.37,1,2.780399467209935,2.71,2.7760027795789,2.780702850709788,0.788,1,1.674314900320545,1.477,1.6836560994076282,1.6791896102047823,0.561,1,1.7346010553881066,0.99,1.6321205843805535,1.7057275482700638
202405201400,1.356,1,2.614148897449214,0.993,2.584434404215605,2.6008064085668363,5.513,1,3.042710186411919,2.63,2.9859618490191653,3.0083185889967448,1.308,1,2.726569248869448,0.856,2.7204367597206587,2.716718314771235,1.552,1,2.7643751237023926,0.978,2.7641040559632124,2.7493363916095808,5.47,1,2.306248100752782,5.45,2.2914335247065045,2.2959953548028067,4.49,1,2.3365634466358958,4.34,2.339546338755623,2.333999345400445,7.13,1,2.4407354314748626,6.21,2.434025734186301,2.43707010134204,4.38,1,2.782685182490791,2.71,2.775968159991254,2.7807126372742994,0.788,1,1.674314900320545,1.477,1.6837296521563454,1.6793468589107254,0.561,1,1.7346010553881066,0.99,1.6313136515379745,1.7047961448146431
202405201331,1.358,1,2.6156227370675147,0.993,2.5842004318279383,2.6003760056996628,5.49,1,3.038529502325812,2.63,2.9855150117168603,3.007209182628513,1.301,1,2.721203195364809,0.856,2.7203884724045264,2.7164005427035507,1.542,1,2.757910977082503,0.978,2.764101921571565,2.74885127121949,5.48,1,2.3080745852788174,5.45,2.291316874501416,2.295664621062485,4.49,1,2.3365634466358958,4.34,2.3395698260951483,2.333916632457366,7.13,1,2.4407354314748626,6.21,2.4339729019241862,2.4369518648861423,4.39,1,2.784965685189516,2.71,2.775915270050312,2.780649006783445,0.787,1,1.6730450588800692,1.477,1.6838037840605642,1.67950918015557,0.561,1,1.7346010553881066,0.99,1.630500364893485,1.703834696086467
202405201100,1.358,1,2.6156227370675147,0.993,2.5839530121016425,2.5998841756555384,5.472,1,3.035245427124622,2.63,2.985097574782932,3.006198849735052,1.296,1,2.717352593764524,0.856,2.720382057263107,2.7162456184241552,1.539,1,2.755963556798108,0.978,2.7641506691659674,2.748559022643264,5.45,1,2.302585092994046,5.45,2.2911849240228537,2.295264299636152,4.47,1,2.332099153507209,4.34,2.339593498374355,2.333831251354833,7.1,1,2.436518981095928,6.21,2.4339196536600074,2.4368298143510225,4.37,1,2.780399467209935,2.71,2.7758440069389803,2.780509759092926,0.789,1,1.6755831313085403,1.477,1.683888498432064,1.6797177001967152,0.561,1,1.7346010553881066,0.99,1.6296806744171497,1.7028422328831885
202405201031,1.356,1,2.614148897449214,0.993,2.583703644188525,2.59937648012612,5.47,1,3.0348798632382623,2.63,2.984702709803863,3.0052618633676467,1.297,1,2.7181239011687475,0.856,2.7204059113064027,2.7162099095422083,1.539,1,2.755963556798108,0.978,2.764215134617683,2.748320166702785,5.46,1,2.3044182740757067,5.45,2.2910951589128445,2.2950281450117034,4.48,1,2.334333791308626,4.34,2.33965250896386,2.3338871254789497,7.13,1,2.4407354314748626,6.21,2.433899186514843,2.4368398412302192,4.37,1,2.780399467209935,2.71,2.775808137173067,2.7805133168956035,0.795,1,1.6831589251169976,1.477,1.683953895023588,1.6798510733866563,0.559,1,1.7310296230205091,0.99,1.6288545296850947,1.7018177547378683
202405201000,1.358,1,2.6156227370675147,0.993,2.583463917784898,2.5988999505350527,5.475,1,3.035793522506937,2.63,2.984307614107529,3.004306444016981,1.297,1,2.7181239011687475,0.856,2.720423879890164,2.716148167876836,1.537,1,2.7546631664978243,0.978,2.76428010767138,2.7480736057319683,5.5,1,2.311717576557318,5.45,2.290990252494239,2.294725237622542,4.52,1,2.343222738725872,4.34,2.339694388630437,2.333872716903799,7.15,1,2.4435365537545746,6.21,2.4338453578143704,2.436714177028779,4.4,1,2.787240999026652,2.71,2.7757719849680527,2.780516989466109,0.794,1,1.6819002717098015,1.477,1.6839601546291516,1.6797443684921292,0.56,1,1.732816933594605,0.99,1.628050001391115,1.7008754364061702
202405200931,1.357,1,2.6148860887837424,0.993,2.583210698735429,2.5983605058081998,5.468,1,3.034514165666076,2.63,2.983902213253991,3.003290731807628,1.296,1,2.717352593764524,0.856,2.720441989958837,2.7160844345448387,1.531,1,2.750751818616912,0.978,2.7643558316176287,2.7478610392556506,5.47,1,2.306248100752782,5.45,2.290827045218152,2.2941770976569043,4.51,1,2.341007898396319,4.34,2.3396666063462206,2.3335711032966358,7.17,1,2.4463298516601872,6.21,2.43376904918492,2.436494100360205,4.39,1,2.784965685189516,2.71,2.775681677770741,2.780300085931898,0.786,1,1.6717736028918724,1.477,1.6839763741796978,1.679674823227043,0.56,1,1.732816933594605,0.99,1.627225064917072,1.699845065529124
202405171500,1.355,1,2.613411162262674,0.993,2.5829612862153635,2.5978274224864077,5.356,1,3.0138186746332987,2.63,2.98350369394366,3.002283524263807,1.292,1,2.7142614011948507,0.856,2.720466315913123,2.716043526182913,1.523,1,2.7455127758543902,0.978,2.764462949830233,2.747767788308513,5.47,1,2.306248100752782,5.45,2.290705619584021,2.293787710460263,4.49,1,2.3365634466358958,4.34,2.339656044991496,2.3333312066805165,7.14,1,2.4421369734001512,6.21,2.433670145228421,2.436176818060206,4.38,1,2.782685182490791,2.71,2.775608575350121,2.780149582730039,0.79,1,1.676849755923733,1.477,1.684072458992988,1.679929701302371,0.556,1,1.7256484441159925,0.99,1.626393632880241,1.6987814568818504
