,equity
2024-03-29,1.4558487167475713
2024-04-01,1.4635631226702817
2024-04-02,1.4660159083054767
2024-04-03,1.4690437887052283
2024-04-08,1.4832870662363022
2024-04-09,1.4857932347386003
2024-04-10,1.4914267518171338
2024-04-11,1.4842927587997405
2024-04-12,1.505904857246154
2024-04-15,1.4945429153216254
2024-04-16,1.492795953964982
2024-04-17,1.4913495942718415
2024-04-18,1.4833076123321922
2024-04-19,1.482660185239085
2024-04-22,1.4645804542234837
2024-04-23,1.4554348140735713
2024-04-24,1.476086092474289
2024-04-25,1.4716659798640213
2024-04-26,1.4838405754489488
2024-04-29,1.4794914332064237
2024-04-30,1.4767511935345257
2024-05-06,1.477579467850755
2024-05-07,1.48255153944372
2024-05-08,1.482154782849546
2024-05-09,1.4822689372728461
2024-05-10,1.4978594646208483
2024-05-13,1.496344687815507
2024-05-14,1.4939923448693593
2024-05-15,1.4967001387863919
2024-05-16,1.509147851001901
2024-05-17,1.5139001556141853
2024-05-20,1.5314703561679432
2024-05-21,1.5196250125888997
2024-05-22,1.5228066749177913
2024-05-23,1.503406099701107
2024-05-24,1.482281874100734
2024-05-27,1.4986245585250924
2024-05-28,1.500475311243272
2024-05-29,1.5007258376721102
2024-05-30,1.4877523538156943
2024-05-31,1.4879817192661828
2024-06-03,1.4860733999860358
2024-06-04,1.486823730016311
2024-06-05,1.4883226449712204
2024-06-06,1.504597220442293
2024-06-07,1.4966922532374882
2024-06-11,1.4777730106773115
2024-06-12,1.484266654424378
2024-06-13,1.4902286230396318
2024-06-14,1.4887743506633861
2024-06-17,1.487729827257914
2024-06-18,1.5001540238656474
2024-06-19,1.5142120313263612
2024-06-20,1.5239820151762884
2024-06-21,1.5208648312243527
2024-06-24,1.5067776985426757
2024-06-25,1.5098622417126975
2024-06-26,1.516888993502363
2024-06-27,1.5139603203936312
2024-06-28,1.530504906636126
2024-07-01,1.5397589689903386
2024-07-02,1.55100543534253
2024-07-03,1.5605618233306098
2024-07-04,1.569693495566951
2024-07-05,1.569756218089808
2024-07-08,1.5779898473482656
2024-07-09,1.5808319227620948
2024-07-10,1.577860898958363
2024-07-11,1.5852893171548537
2024-07-12,1.5816898948083074
2024-07-15,1.5926833293448521
2024-07-16,1.5823141068862523
2024-07-17,1.5858102904052356
2024-07-18,1.5835133142606952
2024-07-19,1.5544455880551222
2024-07-22,1.5482140839644674
2024-07-23,1.5528215643050878
2024-07-24,1.548899232657024
2024-07-25,1.514921234562263
2024-07-26,1.5146001718352557
2024-07-29,1.5314881909555516
2024-07-30,1.5275446833157762
2024-07-31,1.5270476294289927
2024-08-01,1.5435834864025593
2024-08-02,1.5291691563755616
2024-08-05,1.4852480713369036
2024-08-06,1.4886270561252484
2024-08-07,1.4896574831341518
2024-08-08,1.490853824540578
2024-08-09,1.4984423003225327
2024-08-12,1.5046373309672276
2024-08-13,1.509969099430694
2024-08-14,1.508590623745014
2024-08-15,1.5083024528745537
2024-08-16,1.5142542210035261
2024-08-19,1.5288698002780934
2024-08-20,1.5311414770481604
2024-08-21,1.530112300469409
2024-08-22,1.5327345815268085
2024-08-23,1.5298060035932883
2024-08-26,1.5334878724727425
2024-08-27,1.5385973950562228
2024-08-28,1.5312700753672104
2024-08-29,1.502486059526618
2024-08-30,1.478283762449037
2024-09-02,1.4736011443282317
2024-09-03,1.4736011443282317
2024-09-04,1.4736011443282317
2024-09-05,1.4736011443282317
2024-09-06,1.4736011443282317
2024-09-09,1.4736011443282317
2024-09-10,1.4736011443282317
2024-09-11,1.4736011443282317
2024-09-12,1.4736011443282317
2024-09-13,1.4736011443282317
2024-09-18,1.4736011443282317
2024-09-19,1.4736011443282317
2024-09-20,1.4736011443282317
2024-09-23,1.4736011443282317
2024-09-24,1.4736011443282317
2024-09-25,1.4780925101923001
2024-09-26,1.506817798491144
2024-09-27,1.5086417520791149
2024-09-30,1.551201506121049
2024-10-08,1.5576414587763256
2024-10-09,1.5219362304968358
2024-10-10,1.5489646731863906
2024-10-11,1.5441344643453696
2024-10-14,1.5694593354166304
2024-10-15,1.547048626632125
2024-10-16,1.5531997248690184
2024-10-17,1.5518692832188432
2024-10-18,1.5783820471495638
2024-10-21,1.5776669080041963
2024-10-22,1.5782768080793914
2024-10-23,1.5892420671147103
2024-10-24,1.5712710420731602
2024-10-25,1.5750248280495722
2024-10-28,1.5826472173097619
2024-10-29,1.588985716378402
2024-10-30,1.5870351048659859
2024-10-31,1.5805765481223328
2024-11-01,1.5693418895383247
2024-11-04,1.5697479315528293
2024-11-05,1.5828250000277635
2024-11-06,1.5846399511546478
2024-11-07,1.5875639900319451
2024-11-08,1.593302591788957
2024-11-11,1.5936966984361458
2024-11-12,1.5677087599924675
2024-11-13,1.5630686809228058
2024-11-14,1.5413751538745422
2024-11-15,1.5363267184526272
2024-11-18,1.5435919028171667
2024-11-19,1.5599944269376864
2024-11-20,1.5631760664313163
2024-11-21,1.5670864638571327
2024-11-22,1.5635367738308519
2024-11-25,1.553819583151852
2024-11-26,1.5454238238811935
2024-11-27,1.5636395717633447
2024-11-28,1.5561302018311702
2024-11-29,1.5653761928040948
2024-12-02,1.5678973799751297
2024-12-03,1.5790944859923501
2024-12-04,1.5800321477523254
2024-12-05,1.5782371313578827
2024-12-06,1.58339033810721
2024-12-09,1.5903962307269188
2024-12-10,1.6091046411061967
2024-12-11,1.6002727067854419
2024-12-12,1.621737912418924
2024-12-13,1.604890838981512
2024-12-16,1.6025006963600008
2024-12-17,1.605919449521423
2024-12-18,1.615979851675004
2024-12-19,1.6012253986420377
2024-12-20,1.5982214681354732
2024-12-23,1.6201329730102416
2024-12-24,1.6295930695699925
2024-12-25,1.640510345031741
2024-12-26,1.6405392229064082
2024-12-27,1.6348844183315983
2024-12-30,1.632795488812736
2024-12-31,1.6277272009504025
2025-01-02,1.6202386650457143
2025-01-03,1.6256020063879526
2025-01-06,1.6311268780159722
2025-01-07,1.6276291227500976
2025-01-08,1.6357097304164858
2025-01-09,1.630758161836733
2025-01-10,1.6340733665942244
2025-01-13,1.640217417602505
2025-01-14,1.6373982355733454
2025-01-15,1.6395319483511002
2025-01-16,1.6564162524829424
2025-01-17,1.654168914828437
2025-01-20,1.6483144286881424
2025-01-21,1.6452780487390493
2025-01-22,1.643070041903448
2025-01-23,1.6403441714349651
2025-01-24,1.6413935000365611
2025-01-27,1.6423405630169632
2025-02-05,1.6584726700931713
2025-02-06,1.654490279477244
2025-02-07,1.653112622828059
2025-02-10,1.664898542749623
2025-02-11,1.6863956386412453
2025-02-12,1.6829590492256514
2025-02-13,1.6787935112111485
2025-02-14,1.6926774117638972
2025-02-17,1.684780390707059
2025-02-18,1.695394611797791
2025-02-19,1.706866807932778
2025-02-20,1.70041072762472
2025-02-21,1.7084224265247678
2025-02-24,1.700888649763648
2025-02-25,1.6942832258904712
2025-02-26,1.6988167786094555
2025-02-27,1.6977704085841157
2025-02-28,1.6554301247119079
2025-03-03,1.654726607128567
2025-03-04,1.6573753244487683
2025-03-05,1.6718808866530674
2025-03-06,1.685684178638184
2025-03-07,1.6784826989177168
2025-03-10,1.672167749988152
2025-03-11,1.6631774674973823
2025-03-12,1.656147541320417
2025-03-13,1.6528753940140382
2025-03-14,1.6728849725624624
2025-03-17,1.6745018467399893
2025-03-18,1.6862582671755426
2025-03-19,1.6923930284027628
2025-03-20,1.683886273752037
2025-03-21,1.6654361351745497
2025-03-24,1.6701627362057785
2025-03-25,1.6619687932751992
2025-03-26,1.6654602740578492
2025-03-27,1.675593119282666
2025-03-28,1.6794832028585598
2025-03-31,1.6919649772807663
2025-04-01,1.6916142521192483
2025-04-02,1.6946269954674833
2025-04-03,1.7038438941559249
2025-04-07,1.6320766957816946
2025-04-08,1.6327030209174789
2025-04-09,1.6304107859497297
2025-04-10,1.6415412255750979
2025-04-11,1.6567095057443528
2025-04-14,1.6715643826607252
2025-04-15,1.6747345666626583
2025-04-16,1.698934515061976
2025-04-17,1.7058985819092602
2025-04-18,1.7167196161486875
2025-04-21,1.7223442482075726
2025-04-22,1.7557144645799345
2025-04-23,1.7027252902449777
2025-04-24,1.712178702186172
2025-04-25,1.708264379975688
2025-04-28,1.7071626910257813
2025-04-29,1.7106598490026166
2025-04-30,1.689004368689404
2025-05-06,1.7140496499895994
2025-05-07,1.730917532500674
2025-05-08,1.7182700568296034
2025-05-09,1.7110051304205525
2025-05-12,1.7025846658739023
2025-05-13,1.6982465459449427
2025-05-14,1.704501753595979
2025-05-15,1.6751346160933807
2025-05-16,1.6791296834634826
2025-05-19,1.6777692004129845
2025-05-20,1.6822487923688714
2025-05-21,1.7044792540495188
2025-05-22,1.7024556300094202
2025-05-23,1.6954439750444563
2025-05-26,1.6876278108666158
2025-05-27,1.6829396934247336
2025-05-28,1.6856140799237989
2025-05-29,1.6804054138694646
2025-05-30,1.684550141387848
2025-06-03,1.6989256934525336
2025-06-04,1.7005187465415734
2025-06-05,1.7012379335336945
2025-06-06,1.7029309921870868
2025-06-09,1.6936571840104413
2025-06-10,1.69661137282189
2025-06-11,1.6995664350106527
2025-06-12,1.706525719975523
2025-06-13,1.7116962371926472
2025-06-16,1.7128302275972593
2025-06-17,1.7077024926886728
2025-06-18,1.7138439276402713
2025-06-19,1.7094479385454218
2025-06-20,1.7088632130709493
2025-06-23,1.7200816080622092
2025-06-24,1.7206399415111817
2025-06-25,1.7230199297615636
2025-06-26,1.7293286810022164
2025-06-27,1.7080141275878626
2025-06-30,1.7069348995640685
2025-07-01,1.7203945640418994
2025-07-02,1.7215333109542845
2025-07-03,1.7253928307178144
2025-07-04,1.728087634853496
2025-07-07,1.725479618491719
2025-07-08,1.7340499561878346
2025-07-09,1.7272161133614865
2025-07-10,1.7406900428121461
2025-07-11,1.746623659409085
2025-07-14,1.7569578920782976
2025-07-15,1.7591437226964197
2025-07-16,1.7551049554414202
2025-07-17,1.7477224218674947
2025-07-18,1.76090323096755
2025-07-21,1.764137212756782
2025-07-22,1.759759318196201
2025-07-23,1.7776298044670902
2025-07-24,1.7793577385917096
2025-07-25,1.782936021879562
2025-07-28,1.7860333579562109
2025-07-29,1.7861911504362007
2025-07-30,1.7858861641119252
2025-07-31,1.7895601970095814
2025-08-01,1.7835574288630558
2025-08-04,1.788224204543494
2025-08-05,1.8043565637295074
2025-08-06,1.8101714110654799
2025-08-07,1.8188923799067604
2025-08-08,1.811915593840873
2025-08-11,1.8147882319553865
2025-08-12,1.8260259169528952
2025-08-13,1.8344947655836166
2025-08-14,1.8441341488132745
2025-08-15,1.8435650781291415
2025-08-18,1.8580998824607733
2025-08-19,1.8563400830646644
2025-08-20,1.8685474993194977
2025-08-21,1.8786303285889694
2025-08-22,1.9219000589931095
2025-08-25,1.9450874592501286
2025-08-26,1.9387233007601254
2025-08-27,1.924005411289041
2025-08-28,1.945686260782217
2025-08-29,1.942391663122783
2025-09-01,1.9596808729420319
2025-09-02,1.9589303196579009
2025-09-03,1.9502149506353588
2025-09-04,1.943716778601232
2025-09-05,1.9514059920153348
2025-09-08,1.9549437280951025
2025-09-09,1.9603011623053122
2025-09-10,1.96835049209762
2025-09-11,1.9896337822986416
2025-09-12,1.995595973269592
2025-09-15,1.9933899104936796
2025-09-16,1.9997751141850297
2025-09-17,2.0040091477060593
2025-09-18,1.9857229241589651
2025-09-19,1.974886385962676
2025-09-22,1.9907554119076012
2025-09-23,2.0055192327355247
2025-09-24,2.024130018058075
2025-09-25,2.032417736874055
2025-09-26,2.022512743519883
2025-09-29,2.0386823182554177
2025-09-30,2.0631478844950606
2025-10-09,2.1073448461722206
2025-10-10,2.0739033672163525
2025-10-13,2.0896986645100446
2025-10-14,2.081443461626253
2025-10-15,2.1175121947167916
2025-10-16,2.129951496573194
2025-10-17,2.128576802494639
2025-10-20,2.1339268543806793
2025-10-21,2.1761582865747533
2025-10-22,2.165003807573178
2025-10-23,2.1524173653316554
2025-10-24,2.1742270601328912
2025-10-27,2.204990876276258
2025-10-28,2.1885544377796804
2025-10-29,2.1966191638329384
2025-10-30,2.173865308996372
2025-10-31,2.1536090315156
2025-11-03,2.1515828722440045
2025-11-04,2.1444520296815215
2025-11-05,2.14023847329618
2025-11-06,2.1674148076886177
2025-11-07,2.150707064035549
2025-11-10,2.1650586658172415
2025-11-11,2.1788896810762606
2025-11-12,2.198496240455066
2025-11-13,2.213551213960841
2025-11-14,2.1788478035088032
2025-11-17,2.145519451988814
2025-11-18,2.119098558339516
2025-11-19,2.124272195175813
2025-11-20,2.1392896589117543
2025-11-21,2.114334544208996
2025-11-24,2.10840243900836
2025-11-25,2.1356916279236984
2025-11-26,2.128987856169058
2025-11-27,2.130858442294139
2025-11-28,2.1269112415892732
2025-12-01,2.13146446279798
2025-12-02,2.128245466232241
2025-12-03,2.119125530091156
2025-12-04,2.116160771071953
2025-12-05,2.1144490810390995
2025-12-08,2.1115015241889807
2025-12-09,2.114828714070512
2025-12-10,2.1046930289038817
2025-12-11,2.1077522122736063
2025-12-12,2.1121290409421416
2025-12-15,2.1021947311252274
2025-12-16,2.090114341066691
2025-12-17,2.0994188171790387
2025-12-18,2.113592227369853
2025-12-19,2.108137377759718
2025-12-22,2.1238918582690007
2025-12-23,2.1330825117822187
2025-12-24,2.1320757088450444
2025-12-25,2.1228955686073143
2025-12-26,2.1229325305052313
2025-12-29,2.121756233542018
2025-12-30,2.108372320871328
2025-12-31,2.110474887477721
2026-01-05,2.1122056081880327
2026-01-06,2.1063642961802436
2026-01-07,2.098830313788136
2026-01-08,2.0900493019124067
2026-01-09,2.091264342813403
2026-01-12,2.1055517460439064
2026-01-13,2.111973490271073
2026-01-14,2.108386096839456
2026-01-15,2.0990774362671316
2026-01-16,2.094927891309016
2026-01-19,2.0936385647065023
2026-01-20,2.090119423758917
2026-01-21,2.119179273625527
2026-01-22,2.1243331335711644
2026-01-23,2.1449278510813587
2026-01-26,2.1824606668384643
2026-01-27,2.191520492747859
2026-01-28,2.2523592529108716
2026-01-29,2.317733637275458
2026-01-30,2.2632086223707852
2026-02-02,2.135800748781859
2026-02-03,2.1304364293076334
2026-02-04,2.1489293709131347
2026-02-05,2.1188532453806337
2026-02-06,2.1223770919418823
2026-02-09,2.1620227810710184
2026-02-10,2.1847442499190204
2026-02-11,2.173715321864075
2026-02-12,2.1784594037629477
2026-02-13,2.156413621540261
2026-02-24,2.2147841324669084
2026-02-25,2.2149391451160967
2026-02-26,2.210615791514505
2026-02-27,2.2143619845386353
2026-03-02,2.2794868185239077
2026-03-03,2.303260341802982
2026-03-04,2.274932897888676
2026-03-05,2.258401780916041
2026-03-06,2.2392001874661447
2026-03-09,2.2795385045261685
2026-03-10,2.308940917428678
2026-03-11,2.31303122617564
2026-03-12,2.332932593030745
2026-03-13,2.341537120238852
2026-03-16,2.380625147505067
2026-03-17,2.4178063260250098
2026-03-18,2.3883666005512696
2026-03-19,2.4105201440020037
2026-03-20,2.416256891115995
2026-03-23,2.415062744378646
2026-03-24,2.4464262647786725
2026-03-25,2.4157446068806805
2026-03-26,2.4376732743953187
2026-03-27,2.428553212259779
2026-03-30,2.446208568586752
2026-03-31,2.442363449188592
2026-04-01,2.3900892839812227
2026-04-02,2.429180219934709
2026-04-03,2.4298910040147543
2026-04-07,2.439985562214382
2026-04-08,2.3965373741437124
2026-04-09,2.398713595395135
2026-04-10,2.37070778799659
2026-04-13,2.394937148156894
2026-04-14,2.3863404669386417
2026-04-15,2.3879702421814213
2026-04-16,2.3895679698591388
2026-04-17,2.3807939931051227
2026-04-20,2.3925074751473336
2026-04-21,2.3780713258450574
2026-04-22,2.3583557856762076
2026-04-23,2.3643004462118276
2026-04-24,2.377136290841417
2026-04-27,2.3968619570810024
2026-04-28,2.4050272194394346
2026-04-29,2.4073999435843847
2026-04-30,2.4298286786627115
2026-05-06,2.45451376169546
2026-05-07,2.45970540170154
2026-05-08,2.4525447176129185
2026-05-11,2.4828786832736958
2026-05-12,2.483311854428668
2026-05-13,2.49776668816096
2026-05-14,2.4948614464639682
2026-05-15,2.485074945698658
2026-05-18,2.48954913104562
2026-05-19,2.516159058794347
2026-05-20,2.529194512568206
2026-05-21,2.5331889100106233
2026-05-22,2.554831539114704
2026-05-25,2.60425312135278
2026-05-26,2.5985521303262464
2026-05-27,2.5798401878555017
2026-05-28,2.5759728079658806
2026-05-29,2.547526555283113
2026-06-01,2.559509145724291
2026-06-02,2.5718491196958246
2026-06-03,2.57030285614525
2026-06-04,2.5508148003145994
2026-06-05,2.5331615859666328
2026-06-08,2.5187227499388096
2026-06-09,2.5452077587010735
2026-06-10,2.540799090007361
2026-06-11,2.544024408595538
2026-06-12,2.561629780135871
